反復回数,回転角度θ（度）,スケールs,目的関数値J,勾配ノルム,∂J/∂θ,∂J/∂s
26,1.6547927823573905,1.0408375261414187,884859.5,1932896692.225057,-242159848.13093388,-1917667393.1544461
27,1.7196374845368305,1.0423230678290472,883636.0,1926703103.52139,-236942294.42931107,-1912078240.6139998
28,1.7836224171473516,1.0437666365898821,879728.5,1869348035.0472312,-235042157.85796767,-1854512674.5763736
29,1.8487228673736855,1.0451998782691574,879314.0,1857500354.7394998,-242323465.18106,-1841626158.0679212
30,1.9164227520829804,1.0466471536248414,878710.0,1877670829.7740488,-249738450.16461036,-1860988568.3404245
31,1.9839123843438484,1.0481010677962739,878860.5,1876172733.394562,-243097648.9241987,-1860356863.2444553
32,2.049788734392594,1.0495545970076607,879563.0,1874814987.6104634,-236695935.7145922,-1859813504.5710943
33,2.1151459334192517,1.0510046674132434,881713.0,1869809060.143935,-233236174.72484723,-1855205327.7726607
34,2.181729904327314,1.052461726821586,881588.0,1873475039.5178237,-236350188.37848315,-1858506742.5623631
35,2.2476405222674387,1.0539315257337933,879242.0,1886607651.5305994,-230644688.15882432,-1872455996.449028
36,2.3131729870310984,1.0554033441784165,877764.0,1883530494.9475546,-227678083.71165708,-1869719180.945301
37,2.376154628444064,1.056860200324089,878601.5,1868190780.1222026,-216537146.12356767,-1855599217.3102102
38,2.435905278283651,1.0582852999605827,877716.0,1836422451.5020914,-200164879.5736704,-1825481153.3856516
39,2.499629585694652,1.0597068102870304,877331.0,1826638706.9346206,-216399825.44286314,-1813775091.1345322
40,2.5629045265656574,1.0611339834814608,878709.5,1825896188.257509,-213053599.8194514,-1813423572.66505
41,2.6266835575327234,1.0625629778347034,878678.5,1828030239.4881203,-218030675.02462107,-1814981317.0474517
42,2.689626056676988,1.0639872390450953,880480.0,1824219392.7038417,-214280359.48727128,-1811590549.8359113
43,2.752355560657816,1.0654073659313172,881179.5,1819448942.041908,-209853552.55718753,-1807306266.0148518
44,2.8143331264294513,1.0668540186133797,878552.5,1850887356.3267975,-200357152.98051137,-1840011145.906444
45,2.877162596106613,1.0683009205746117,881454.5,1863701708.636962,-202415020.56165174,-1852677040.9942899
46,2.9388740693636177,1.0697379065779928,880699.5,1860828899.2267823,-195231262.4207048,-1850559090.213327
47,3.000339605868208,1.0711882859609159,881044.0,1885394022.5135293,-191296487.36035883,-1875664222.0966244
48,3.0668704658255312,1.0726424106413177,882535.0,1876121832.8506064,-206811431.71187708,-1864688221.502995
49,3.131190652927894,1.0740976928129853,879952.5,1874372064.0956357,-191353922.32033864,-1864578856.2232373
50,3.1947719718332936,1.0755481277852432,879708.5,1869480064.373978,-188232186.91295552,-1859979665.1849985
51,3.2569182267074277,1.0769955451231052,882237.5,1865215753.8829806,-185155692.862166,-1856003011.2944286
52,3.3192251485054105,1.07843488455396,880816.0,1859086976.7746038,-188362618.9519214,-1849519913.6517859
53,3.3861447242447262,1.0798746687499368,879191.5,1863998452.7159746,-213229135.9057312,-1851762286.9386995
54,3.4500559613952393,1.0813086549917588,878760.0,1864633621.1344502,-198740810.3234523,-1854012036.470354
55,3.513947106278431,1.0827674436113544,876477.5,1902640785.520545,-194880619.13700402,-1892634011.9027276
56,3.5801336778187856,1.084222388696474,879663.0,1895270228.4403539,-202489307.80436426,-1884422277.2609277
57,3.647107669525457,1.0856904943428562,878637.0,1894826565.3863032,-202092927.14962578,-1884018620.3139687
58,3.7158577795220165,1.0871594252387837,877468.0,1892296240.908855,-208920555.24517012,-1880727855.1012726
59,3.7872271290528565,1.0886280648937456,877354.0,1888966778.0864656,-218086759.5661469,-1876335165.6930327
60,3.858802000469957,1.090094594124153,879029.0,1882396370.109998,-215243725.1714958,-1870049794.250836
61,3.927920264361816,1.0915630007587578,879408.5,1892574982.1603143,-203780972.0450831,-1881572049.784827
62,3.9983337601659747,1.0930396729629364,875506.5,1908626395.4698694,-207668291.48987842,-1897295074.097327
63,4.068981013495715,1.094535002708168,871302.5,1934523571.341449,-205120771.3051948,-1923618183.8542795
64,4.139459410367986,1.0960299463220897,869105.0,1931899674.7733269,-207222980.4394219,-1920753755.6300883
65,4.214848200886433,1.0975447041899902,870521.5,1937853049.6150618,-223308296.19449955,-1924943595.7328997
66,4.291223130499406,1.0990563985824948,870284.5,1926991606.3877227,-228412007.4736371,-1913406544.8645773
67,4.366670467100358,1.1005624888361505,867641.0,1922702922.0236444,-224150918.4930405,-1909592336.6250155
68,4.444032935417678,1.1020586149628682,867154.0,1907320010.4047165,-231677662.8427655,-1893197053.3016267
